Trial,Position,Density
14400_sec_trial,0,0.0
14400_sec_trial,279,61.5115667128
14400_sec_trial,558,2.46289648508
14400_sec_trial,837,1.3346804107
14400_sec_trial,1116,1.41154743147
14400_sec_trial,1395,1.21515789359
14400_sec_trial,1674,1.24940813959
14400_sec_trial,1953,1.28866032767
14400_sec_trial,2232,1.50724600821
14400_sec_trial,2511,4.37712301024
14400_sec_trial,2790,1.30385252657
14400_sec_trial,3069,1.48809701215
14400_sec_trial,3348,1.31390130797
14400_sec_trial,3627,4.96753319406
14400_sec_trial,3906,4.53395056011
14400_sec_trial,4185,2.39720941344
14400_sec_trial,4464,1.33289300353
14400_sec_trial,4743,1.22597195292
14400_sec_trial,5022,1.18175882373
14400_sec_trial,5301,3.19053865365
14400_sec_trial,5580,0.706007132466
