RNAP,x,t
0,0.0,100.82
1953,0.0666666666667,100.82
3906,0.0,100.82
837,0.0,100.82
2790,0.0,100.82
4743,0.0,100.82
1674,0.0666666666667,100.82
3627,0.0,100.82
5580,0.0,100.82
558,0.0,100.82
2511,0.0,100.82
4464,0.0,100.82
1395,0.0,100.82
3348,0.0,100.82
5301,0.0,100.82
279,0.8,100.82
2232,0.0666666666667,100.82
4185,0.0,100.82
1116,0.0,100.82
3069,0.0,100.82
5022,0.0,100.82
0,0.0,200.97
1953,0.111111111111,200.97
3906,0.0,200.97
837,0.111111111111,200.97
2790,0.0,200.97
4743,0.0,200.97
1674,0.0,200.97
3627,0.111111111111,200.97
5580,0.0,200.97
558,0.0555555555556,200.97
2511,0.0,200.97
4464,0.0,200.97
1395,0.0,200.97
3348,0.0555555555556,200.97
5301,0.0,200.97
279,0.555555555556,200.97
2232,0.0,200.97
4185,0.0,200.97
1116,0.0,200.97
3069,0.0,200.97
5022,0.0,200.97
0,0.0,301.14
1953,0.0555555555556,301.14
3906,0.0,301.14
837,0.0,301.14
2790,0.0,301.14
4743,0.0,301.14
1674,0.0,301.14
3627,0.111111111111,301.14
5580,0.0,301.14
558,0.0,301.14
2511,0.0,301.14
4464,0.0555555555556,301.14
1395,0.0,301.14
3348,0.0555555555556,301.14
5301,0.0,301.14
279,0.555555555556,301.14
2232,0.111111111111,301.14
4185,0.0,301.14
1116,0.0,301.14
3069,0.0,301.14
5022,0.0555555555556,301.14
0,0.0,400.48
1953,0.0,400.48
3906,0.0,400.48
837,0.0,400.48
2790,0.0,400.48
4743,0.0,400.48
1674,0.0625,400.48
3627,0.25,400.48
5580,0.0,400.48
558,0.0625,400.48
2511,0.0,400.48
4464,0.0,400.48
1395,0.0625,400.48
3348,0.125,400.48
5301,0.0,400.48
279,0.4375,400.48
2232,0.0,400.48
4185,0.0,400.48
1116,0.0,400.48
3069,0.0,400.48
5022,0.0,400.48
0,0.0,500.02
1953,0.0357142857143,500.02
3906,0.0,500.02
837,0.0,500.02
2790,0.0714285714286,500.02
4743,0.0,500.02
1674,0.0,500.02
3627,0.178571428571,500.02
5580,0.0,500.02
558,0.0,500.02
2511,0.0,500.02
4464,0.0,500.02
1395,0.0357142857143,500.02
3348,0.0,500.02
5301,0.0,500.02
279,0.642857142857,500.02
2232,0.0,500.02
4185,0.0357142857143,500.02
1116,0.0,500.02
3069,0.0,500.02
5022,0.0,500.02
0,0.0,600.21
1953,0.0243902439024,600.21
3906,0.0487804878049,600.21
837,0.0,600.21
2790,0.0243902439024,600.21
4743,0.0,600.21
1674,0.0,600.21
3627,0.0975609756098,600.21
5580,0.0,600.21
558,0.0243902439024,600.21
2511,0.0243902439024,600.21
4464,0.0243902439024,600.21
1395,0.0,600.21
3348,0.0,600.21
5301,0.0,600.21
279,0.731707317073,600.21
2232,0.0,600.21
4185,0.0,600.21
1116,0.0,600.21
3069,0.0,600.21
5022,0.0,600.21
0,0.0,700.2
1953,0.0,700.2
3906,0.0,700.2
837,0.0243902439024,700.2
2790,0.0,700.2
4743,0.0,700.2
1674,0.0,700.2
3627,0.0975609756098,700.2
5580,0.0,700.2
558,0.0243902439024,700.2
2511,0.0243902439024,700.2
4464,0.0487804878049,700.2
1395,0.0,700.2
3348,0.0243902439024,700.2
5301,0.0243902439024,700.2
279,0.682926829268,700.2
2232,0.0,700.2
4185,0.0,700.2
1116,0.0243902439024,700.2
3069,0.0243902439024,700.2
5022,0.0,700.2
0,0.0,800.37
1953,0.025,800.37
3906,0.025,800.37
837,0.05,800.37
2790,0.0,800.37
4743,0.0,800.37
1674,0.0,800.37
3627,0.125,800.37
5580,0.0,800.37
558,0.025,800.37
2511,0.0,800.37
4464,0.0,800.37
1395,0.025,800.37
3348,0.025,800.37
5301,0.0,800.37
279,0.625,800.37
2232,0.0,800.37
4185,0.0,800.37
1116,0.025,800.37
3069,0.0,800.37
5022,0.05,800.37
0,0.0,900.01
1953,0.0243902439024,900.01
3906,0.0,900.01
837,0.0,900.01
2790,0.0,900.01
4743,0.0,900.01
1674,0.0243902439024,900.01
3627,0.146341463415,900.01
5580,0.0,900.01
558,0.0,900.01
2511,0.0243902439024,900.01
4464,0.0243902439024,900.01
1395,0.0487804878049,900.01
3348,0.0,900.01
5301,0.0,900.01
279,0.682926829268,900.01
2232,0.0243902439024,900.01
4185,0.0,900.01
1116,0.0,900.01
3069,0.0,900.01
5022,0.0,900.01
0,0.0,1000.73
1953,0.0243902439024,1000.73
3906,0.0,1000.73
837,0.0243902439024,1000.73
2790,0.0243902439024,1000.73
4743,0.0,1000.73
1674,0.0243902439024,1000.73
3627,0.0975609756098,1000.73
5580,0.0,1000.73
558,0.0,1000.73
2511,0.0,1000.73
4464,0.0243902439024,1000.73
1395,0.0,1000.73
3348,0.0243902439024,1000.73
5301,0.0243902439024,1000.73
279,0.658536585366,1000.73
2232,0.0487804878049,1000.73
4185,0.0243902439024,1000.73
1116,0.0,1000.73
3069,0.0,1000.73
5022,0.0,1000.73
0,0.0,1100.42
1953,0.025,1100.42
3906,0.0,1100.42
837,0.025,1100.42
2790,0.05,1100.42
4743,0.0,1100.42
1674,0.0,1100.42
3627,0.15,1100.42
5580,0.0,1100.42
558,0.025,1100.42
2511,0.0,1100.42
4464,0.0,1100.42
1395,0.0,1100.42
3348,0.0,1100.42
5301,0.0,1100.42
279,0.625,1100.42
2232,0.0,1100.42
4185,0.0,1100.42
1116,0.025,1100.42
3069,0.025,1100.42
5022,0.05,1100.42
0,0.0,1200.03
1953,0.0263157894737,1200.03
3906,0.0263157894737,1200.03
837,0.0263157894737,1200.03
2790,0.0,1200.03
4743,0.0,1200.03
1674,0.0263157894737,1200.03
3627,0.184210526316,1200.03
5580,0.0,1200.03
558,0.0526315789474,1200.03
2511,0.0263157894737,1200.03
4464,0.0,1200.03
1395,0.0,1200.03
3348,0.0263157894737,1200.03
5301,0.0,1200.03
279,0.578947368421,1200.03
2232,0.0,1200.03
4185,0.0,1200.03
1116,0.0263157894737,1200.03
3069,0.0,1200.03
5022,0.0,1200.03
0,0.0,1300.23
1953,0.0263157894737,1300.23
3906,0.0,1300.23
837,0.0,1300.23
2790,0.0,1300.23
4743,0.0263157894737,1300.23
1674,0.0,1300.23
3627,0.210526315789,1300.23
5580,0.0,1300.23
558,0.0,1300.23
2511,0.0263157894737,1300.23
4464,0.0,1300.23
1395,0.0526315789474,1300.23
3348,0.0,1300.23
5301,0.0,1300.23
279,0.578947368421,1300.23
2232,0.0263157894737,1300.23
4185,0.0,1300.23
1116,0.0263157894737,1300.23
3069,0.0263157894737,1300.23
5022,0.0,1300.23
0,0.0,1403.93
1953,0.0263157894737,1403.93
3906,0.0,1403.93
837,0.0263157894737,1403.93
2790,0.0263157894737,1403.93
4743,0.0,1403.93
1674,0.0526315789474,1403.93
3627,0.236842105263,1403.93
5580,0.0,1403.93
558,0.0,1403.93
2511,0.0,1403.93
4464,0.0,1403.93
1395,0.0,1403.93
3348,0.0,1403.93
5301,0.0263157894737,1403.93
279,0.552631578947,1403.93
2232,0.0263157894737,1403.93
4185,0.0,1403.93
1116,0.0,1403.93
3069,0.0263157894737,1403.93
5022,0.0,1403.93
0,0.0,1500.01
1953,0.0,1500.01
3906,0.0,1500.01
837,0.0,1500.01
2790,0.0512820512821,1500.01
4743,0.0,1500.01
1674,0.0,1500.01
3627,0.282051282051,1500.01
5580,0.0,1500.01
558,0.0,1500.01
2511,0.025641025641,1500.01
4464,0.0,1500.01
1395,0.025641025641,1500.01
3348,0.0,1500.01
5301,0.0,1500.01
279,0.589743589744,1500.01
2232,0.025641025641,1500.01
4185,0.0,1500.01
1116,0.0,1500.01
3069,0.0,1500.01
5022,0.0,1500.01
0,0.0,1601.57
1953,0.0,1601.57
3906,0.0,1601.57
837,0.0,1601.57
2790,0.025641025641,1601.57
4743,0.0,1601.57
1674,0.0,1601.57
3627,0.307692307692,1601.57
5580,0.0,1601.57
558,0.0512820512821,1601.57
2511,0.0,1601.57
4464,0.0,1601.57
1395,0.0,1601.57
3348,0.025641025641,1601.57
5301,0.0,1601.57
279,0.538461538462,1601.57
2232,0.025641025641,1601.57
4185,0.0,1601.57
1116,0.0,1601.57
3069,0.025641025641,1601.57
5022,0.0,1601.57
0,0.0,1700.35
1953,0.0,1700.35
3906,0.025641025641,1700.35
837,0.025641025641,1700.35
2790,0.025641025641,1700.35
4743,0.0,1700.35
1674,0.0,1700.35
3627,0.25641025641,1700.35
5580,0.0,1700.35
558,0.0,1700.35
2511,0.0,1700.35
4464,0.0,1700.35
1395,0.0,1700.35
3348,0.025641025641,1700.35
5301,0.0,1700.35
279,0.512820512821,1700.35
2232,0.0,1700.35
4185,0.0769230769231,1700.35
1116,0.0512820512821,1700.35
3069,0.0,1700.35
5022,0.0,1700.35
0,0.0,1800.37
1953,0.0,1800.37
3906,0.0,1800.37
837,0.025641025641,1800.37
2790,0.0,1800.37
4743,0.025641025641,1800.37
1674,0.025641025641,1800.37
3627,0.282051282051,1800.37
5580,0.0,1800.37
558,0.0,1800.37
2511,0.0,1800.37
4464,0.0,1800.37
1395,0.025641025641,1800.37
3348,0.025641025641,1800.37
5301,0.0,1800.37
279,0.487179487179,1800.37
2232,0.0,1800.37
4185,0.0769230769231,1800.37
1116,0.025641025641,1800.37
3069,0.0,1800.37
5022,0.0,1800.37
0,0.0,1901.96
1953,0.025641025641,1901.96
3906,0.0,1901.96
837,0.025641025641,1901.96
2790,0.0,1901.96
4743,0.0,1901.96
1674,0.025641025641,1901.96
3627,0.307692307692,1901.96
5580,0.025641025641,1901.96
558,0.025641025641,1901.96
2511,0.0,1901.96
4464,0.0,1901.96
1395,0.025641025641,1901.96
3348,0.0,1901.96
5301,0.0,1901.96
279,0.435897435897,1901.96
2232,0.025641025641,1901.96
4185,0.0769230769231,1901.96
1116,0.0,1901.96
3069,0.0,1901.96
5022,0.0,1901.96
0,0.0,2000.77
1953,0.0263157894737,2000.77
3906,0.0526315789474,2000.77
837,0.0263157894737,2000.77
2790,0.0263157894737,2000.77
4743,0.0,2000.77
1674,0.0,2000.77
3627,0.236842105263,2000.77
5580,0.0,2000.77
558,0.0263157894737,2000.77
2511,0.0263157894737,2000.77
4464,0.0,2000.77
1395,0.0263157894737,2000.77
3348,0.0,2000.77
5301,0.0,2000.77
279,0.421052631579,2000.77
2232,0.0,2000.77
4185,0.105263157895,2000.77
1116,0.0,2000.77
3069,0.0263157894737,2000.77
5022,0.0,2000.77
0,0.0,2103.22
1953,0.0227272727273,2103.22
3906,0.0,2103.22
837,0.0,2103.22
2790,0.0,2103.22
4743,0.0227272727273,2103.22
1674,0.0227272727273,2103.22
3627,0.227272727273,2103.22
5580,0.0,2103.22
558,0.0,2103.22
2511,0.0227272727273,2103.22
4464,0.0,2103.22
1395,0.0,2103.22
3348,0.0227272727273,2103.22
5301,0.0,2103.22
279,0.5,2103.22
2232,0.0,2103.22
4185,0.0909090909091,2103.22
1116,0.0227272727273,2103.22
3069,0.0227272727273,2103.22
5022,0.0227272727273,2103.22
